actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-1473.2281208496095,1000,106902,22486.74441357422,897,3111.000786639426,112.0,4330.0454838,68,106902,1,106902
-2552.2749223632813,1000,115728,45087.080256835936,962,15014.337238833561,134.2,7689.2772528000005,35,115728,2,115728
-3477.680345214844,1000,124212,61562.344688476565,1027,2266.4776791454133,99.2,3611.2137128000004,25,124212,3,124212
-3444.5416821289064,1000,132513,48312.45025878906,1092,5812.286292166781,103.8,3657.0363182,20,132513,4,132513
-3064.2211591796877,1000,141270,48429.431155273436,1157,3952.5322783130305,170.6,10004.910653399998,17,141270,5,141270
-2841.673806152344,1000,150763,67909.84775585937,1222,4110.718366382888,163.8,9044.852053999999,15,150763,6,150763
-2685.4263491210936,1000,159245,107729.4412578125,1287,11611.903685562507,156.6,8277.478384999999,13,159245,7,159245
-2674.720449707031,1000,168155,147605.68862890624,1352,3351.826716886743,110.0,4165.5882356,12,168155,8,168155
-2580.6683681640625,1000,176905,142374.1692265625,1417,2283.4838398456636,106.4,5123.192407800001,11,176905,9,176905
-2511.728697265625,1000,185370,132721.264234375,1482,2167.0951707602326,114.8,4357.159676,11,185370,10,185370
-2494.1487211914064,1000,194362,139810.12272265626,1547,2231.4183644620566,110.4,4008.7615288,10,194362,11,194362
-2496.1264794921876,1000,203521,134591.3368515625,1612,14831.235934903778,154.4,8158.4572036,10,203521,12,203521
-2779.7858833007813,1000,212859,161849.40053125,1677,3653.678159651725,135.8,7959.816965400001,9,212859,13,212859
-2883.817378417969,1000,221627,164051.5909609375,1742,2282.892167454811,126.4,6057.2641076,9,221627,14,221627
-2912.464160644531,1000,230527,174775.81176953125,1807,2252.9184497538913,114.8,5504.7231496,9,230527,15,230527
-2796.7237451171877,1000,239939,170471.02177734376,1872,5891.373671696821,147.6,7100.939406399999,9,239939,16,239939
-2613.8132529296877,1000,248159,138677.2190390625,1937,2390.372402962212,139.0,7482.9614346,8,248159,17,248159
-2467.980169921875,1000,256947,128119.14955859375,2002,15243.057371983907,134.4,6650.3311458,8,256947,18,256947
-2367.98949609375,1000,266294,121069.8834140625,2067,10609.271571320294,164.8,8356.9147832,8,266294,19,266294
-2277.135517578125,1000,275642,124947.54330273437,2132,3997.2103617114526,172.6,9574.3651622,8,275642,20,275642
-2234.0391943359373,1000,283793,113017.74727734375,2197,3741.3306862510035,138.2,7991.802326,8,283793,21,283793
-2267.8264274902344,1000,293003,89655.88355859375,2262,4001.7378346695073,127.2,6134.5069002,7,293003,22,293003
-2356.520755371094,1000,301174,74113.710421875,2327,2990.3152695340546,84.2,2822.6074868000005,7,301174,23,301174
-2467.180720214844,1000,310323,67041.57798242188,2392,14973.037361895329,148.4,8581.197925800001,7,310323,24,310323
-2554.1844848632813,1000,318923,63482.32274609375,2457,15042.319822202691,135.8,6966.9933778,7,318923,25,318923
-2462.99632421875,1000,327420,63911.70015234375,2522,2170.599660258756,164.2,9806.488483,7,327420,26,327420
-2390.8516479492187,1000,335693,70192.70914453125,2587,2311.226529254077,133.4,7788.739262,7,335693,27,335693
-2037.5421284179688,1000,344522,218516.3073515625,2652,4137.926995116201,146.6,7765.2784348000005,7,344522,28,344522
-1217.298220336914,1000,353081,759691.53196875,2717,3930.197906899181,103.4,3815.7870923999994,7,353081,29,353081
741.134724975586,1000,362355,2812605.6980625,2782,2965.441503152738,147.2,7893.118052000001,7,362355,30,362355
5186.372538574219,1000,371021,10525603.091,2847,2320.48529398497,102.0,4960.052527,7,371021,31,371021
10116.313922851563,1000,380375,27584152.741,2912,5909.940996711154,147.6,8519.665630599999,7,380375,32,380375
13761.7198515625,1000,389383,56502923.028,2977,2611.6777877390314,145.0,8537.7948198,7,389383,33,389383
17225.103052734376,1000,398917,126975670.766,3042,3986.41722439984,109.2,4543.3910624,7,398917,34,398917
25106.42435546875,1000,407578,167276507.56,3107,10553.952992425387,138.8,6388.0944938,6,407578,35,407578
33158.56104296875,1000,415962,593228564.088,3172,14795.340187113256,157.8,8780.8042334,6,415962,36,415962
43177.07467578125,1000,424455,415877386.824,3237,6041.194611320404,145.0,6865.747928,6,424455,37,424455
52948.544265625,1000,433216,591199241.584,3302,11969.989586175545,138.0,7440.9429801999995,6,433216,38,433216
61536.7915390625,1000,442286,899113119.152,3367,2231.6961876701716,150.8,9812.6037634,6,442286,39,442286
71803.30553125,1000,451733,1257250201.072,3432,14710.929950459293,144.8,8291.701980599999,6,451733,40,451733
81950.2656015625,1000,460475,1701610719.76,3497,4055.2320270971545,113.4,4249.3359948,6,460475,41,460475
90063.60971875,1000,468999,2146640824.8,3562,6349.306403043943,179.2,10833.1885176,6,468999,42,468999
95605.453078125,1000,477950,3521450377.76,3627,3230.033356529014,131.0,5137.8977018,6,477950,43,477950
100782.35209375,1000,486924,3478973477.856,3692,12006.698848346365,148.0,7755.8179218000005,6,486924,44,486924
102440.588515625,1000,495457,2694434372.8,3757,6504.65161915695,126.2,5089.465113,7,495457,45,495457
104334.036578125,1000,504188,3942600299.584,3822,10818.847642892406,131.0,6293.5797145999995,7,504188,46,504188
101486.610734375,1000,513789,3735894399.44,3887,5921.884342627948,164.8,9667.3301018,7,513789,47,513789
101231.55996875,1000,522523,3104953819.872,3952,6616.616722610611,143.0,6634.798368600001,7,522523,48,522523
105423.9863125,1000,531273,4505130688.96,4017,4342.888950973455,124.6,4845.9021618,7,531273,49,531273
112104.4343125,1000,539834,11359432722.336,4082,14505.085027213183,146.6,8261.0068074,7,539834,50,539834
