actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-3.202203864143008,21,13016,3.637326501664661,598,120.17425436706147,21.0,101.46622353846152,5905,13016,1,13016
-10.55741102942105,58,16553,2.8393539498592246,663,159.4334262490035,58.4,452.5966676,238,16553,2,16553
-17.357875074659074,56,18650,6.13015621474811,728,1783.2724515139153,56.8,455.34685019999995,233,18650,3,18650
-30.767325960356615,58,22178,10.924427879267725,793,181.6558145741694,58.2,457.9765056,185,22178,4,22178
-41.83155739825705,92,24803,12.116459255633147,858,112.53312707252765,92.6,738.5833064000001,189,24803,5,24803
-60.33136821928478,21,27942,15.148395311264764,923,131.3325017319213,21.0,118.9149326,167,27942,6,27942
-72.57103111630394,21,30327,22.970982142857142,988,167.0742789739332,21.0,150.9163576,152,30327,7,30327
-83.0891607375372,21,32259,27.933731306166877,1053,165.0130159945738,21.0,147.00460900000002,154,32259,8,32259
-90.77636010306222,56,34560,26.927551814488,1118,130.13221917674704,56.8,484.77945839999995,156,34560,9,34560
-105.4537360781715,21,36517,45.05560593377976,1183,186.448916196047,21.0,133.7446024,144,36517,10,36517
-117.4113537016369,21,39346,36.74269930521647,1248,91.01200191207741,21.2,154.8802764,147,39346,11,39346
-128.70022437686012,21,42055,50.74704796927316,1313,161.00301783009078,21.0,131.8086722,138,42055,12,42055
-134.45288915219516,92,45250,42.79479083807572,1378,1491.8393633044955,92.6,743.7961419999999,141,45250,13,45250
-145.29244464376697,92,48406,61.202828821928605,1443,185.90756368061867,92.8,822.1608936,135,48406,14,48406
